[15:03:00.394] [30406] [INFO ] [JNI_OnLoad:24]	jvm onload success ! 
[15:03:00.395] [30406] [INFO ] [init:111]	JniNativeCallback init ok. 
[15:03:00.395] [30406] [INFO ] [init:108]	to init engine, user: test001, mode: 0, proxyEndpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[15:03:00.395] [30406] [WARN ] [init:130]	Cannot find the --Mpc.Data=xxxxx config item ! 
[15:03:00.395] [30406] [INFO ] [init:156]	Not start node server ! use proxy forward ! 
[15:03:00.395] [30406] [INFO ] [MpcTaskDispatcher:43]	construct task dispatcher, with 3 processor, load balence is: 6000 
[15:03:00.396] [30406] [INFO ] [init:60]	INIT the processor: 0 ok 
[15:03:00.396] [30407] [INFO ] [operator():51]	task processor: 0 is running... 
[15:03:00.396] [30406] [INFO ] [init:60]	INIT the processor: 1 ok 
[15:03:00.396] [30407] [DEBUG] [popReadyTask:166]	to POP a ready task from ready queue to processor, now read_num: 0 ... 
[15:03:00.396] [30408] [INFO ] [operator():51]	task processor: 1 is running... 
[15:03:00.396] [30406] [INFO ] [init:60]	INIT the processor: 2 ok 
[15:03:00.396] [30406] [INFO ] [init:177]	INIT task dispatcher done ! 
[15:03:00.396] [30409] [INFO ] [operator():51]	task processor: 2 is running... 
[15:03:00.396] [30406] [INFO ] [init:40]	connect to busi proxy server endpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[15:03:00.396] [30408] [DEBUG] [popReadyTask:166]	to POP a ready task from ready queue to processor, now read_num: 0 ... 
[15:03:00.396] [30409] [DEBUG] [popReadyTask:166]	to POP a ready task from ready queue to processor, now read_num: 0 ... 
[15:03:00.410] [30414] [INFO ] [connected:34]	to get session... 
[15:03:00.410] [30414] [INFO ] [connected:38]	to get create busi node callback... 
[15:03:00.410] [30414] [INFO ] [connected:45]	to set node callback... 
[15:03:00.412] [30414] [WARN ] [connected:54]	the busi session create success. 
[15:03:00.903] [30406] [INFO ] [init:69]	waiting for node busi client inited ... timeout 1s.. 
[15:03:00.903] [30406] [INFO ] [init:74]	the busi node communicator is prepared !!!! 
[15:03:00.903] [30406] [INFO ] [init:86]	INIT busi node client success. user: test001, proxyEndpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[15:03:00.903] [30406] [INFO ] [init:187]	INIT busi node client done ! 
[15:03:00.904] [30406] [INFO ] [init:48]	ready process init ok. max request queue size: 3 
[15:03:00.904] [30406] [INFO ] [init:202]	Mpc engine init success. 
[15:03:00.904] [30461] [DEBUG] [popCommitTask:110]	to POP a commit task, task size: 0  ... 
[15:03:00.904] [30406] [INFO ] [Java_com_juzix_jugo_node_jni_NativeInterface_setDataLogLevel:155]	init the log to level: 3, data log state: 0 
