[22:51:46.450] [3561 ] [INFO ] [JNI_OnLoad:24]	jvm onload success ! 
[22:51:46.451] [3561 ] [INFO ] [init:111]	JniNativeCallback init ok. 
[22:51:46.451] [3561 ] [INFO ] [init:136]	to init engine, user: test002, mode: 0, proxyEndpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[22:51:46.451] [3561 ] [WARN ] [init:158]	Cannot find the --Mpc.Data=xxxxx config item ! 
[22:51:46.451] [3561 ] [WARN ] [init:178]	Cannot find the --Mpc.Circuits=xxxxx config item ! not preload circuits !! 
[22:51:46.451] [3561 ] [INFO ] [init:188]	preload circuits ok ! 
[22:51:46.451] [3561 ] [INFO ] [init:212]	Not start node server ! use proxy forward ! 
[22:51:46.451] [3561 ] [INFO ] [MpcTaskDispatcher:39]	construct task dispatcher, with 8 processor, load balence is: 16384 
[22:51:46.451] [3561 ] [INFO ] [init:63]	INIT the processor: 0, type: 0 ok 
[22:51:46.451] [3561 ] [INFO ] [init:63]	INIT the processor: 1, type: 0 ok 
[22:51:46.451] [3561 ] [INFO ] [init:63]	INIT the processor: 2, type: 0 ok 
[22:51:46.451] [3561 ] [INFO ] [init:63]	INIT the processor: 3, type: 0 ok 
[22:51:46.451] [3561 ] [INFO ] [init:63]	INIT the processor: 4, type: 1 ok 
[22:51:46.451] [3561 ] [INFO ] [init:63]	INIT the processor: 5, type: 1 ok 
[22:51:46.452] [3561 ] [INFO ] [init:63]	INIT the processor: 6, type: 1 ok 
[22:51:46.452] [3561 ] [INFO ] [init:63]	INIT the processor: 7, type: 1 ok 
[22:51:46.452] [3561 ] [INFO ] [init:234]	INIT task dispatcher done ! 
[22:51:46.453] [3561 ] [INFO ] [init:64]	connect to busi proxy server endpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[22:51:46.454] [3586 ] [INFO ] [operator():54]	task processor: 7 is running... 
[22:51:46.454] [3586 ] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[22:51:46.454] [3582 ] [INFO ] [operator():54]	task processor: 3 is running... 
[22:51:46.454] [3582 ] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[22:51:46.454] [3579 ] [INFO ] [operator():54]	task processor: 0 is running... 
[22:51:46.454] [3579 ] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[22:51:46.457] [3583 ] [INFO ] [operator():54]	task processor: 4 is running... 
[22:51:46.457] [3583 ] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[22:51:46.459] [3580 ] [INFO ] [operator():54]	task processor: 1 is running... 
[22:51:46.459] [3580 ] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[22:51:46.460] [3585 ] [INFO ] [operator():54]	task processor: 6 is running... 
[22:51:46.460] [3585 ] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[22:51:46.460] [3581 ] [INFO ] [operator():54]	task processor: 2 is running... 
[22:51:46.460] [3581 ] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[22:51:46.461] [3584 ] [INFO ] [operator():54]	task processor: 5 is running... 
[22:51:46.461] [3584 ] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[22:51:46.466] [3592 ] [INFO ] [connected:34]	to get session... 
[22:51:46.467] [3592 ] [INFO ] [connected:38]	to get create busi node callback... 
[22:51:46.467] [3592 ] [INFO ] [connected:46]	to set node callback, public endpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000, user: test002 ... 
[22:51:46.469] [3592 ] [WARN ] [connected:55]	the busi session create success. 
[22:51:46.960] [3561 ] [INFO ] [init:69]	waiting for node busi client inited ... timeout 1s.. 
[22:51:46.960] [3561 ] [INFO ] [init:74]	the busi node communicator is prepared !!!! 
[22:51:46.960] [3561 ] [INFO ] [init:86]	INIT busi node client success. user: test002, proxyEndpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[22:51:46.960] [3561 ] [INFO ] [init:244]	INIT busi node client done ! 
[22:51:46.961] [3561 ] [INFO ] [init:48]	input ready process init ok. 
[22:51:46.961] [3561 ] [INFO ] [init:253]	INIT input ready processor done ! 
[22:51:46.961] [3561 ] [INFO ] [init:48]	ready process init ok. max request queue size: 4 
[22:51:46.961] [3561 ] [INFO ] [init:263]	INIT ready processor done ! 
[22:51:46.961] [3561 ] [INFO ] [init:269]	Mpc engine init success. 
[22:51:46.961] [3634 ] [INFO ] [popCommitTask:127]	to POP a commit task, task size: 0  ... 
[22:51:46.961] [3561 ] [INFO ] [Java_com_juzix_jugo_node_jni_NativeInterface_setDataLogLevel:155]	init the log to level: 3, data log state: 0 
[22:51:46.966] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.030] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.039] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.045] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.050] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.059] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.064] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.069] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.074] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.078] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.082] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.086] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.090] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.094] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.098] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.104] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.109] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.115] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.122] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.126] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.129] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.132] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.137] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.140] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.144] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.148] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.152] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.156] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.162] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.167] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.172] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.176] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.181] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.188] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.200] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.218] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.229] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.239] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.247] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.258] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.268] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.277] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.283] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.293] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.300] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.306] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[22:51:47.320] [3561 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
